trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-154.39820335015142,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-136.62492600758745,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",25,0,-236.72490343798708,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-97.0088478975211,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,0.09783975857561478,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",20,10,-5.591208056859815,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-72.88958111910208,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",30,0,-25.243759886257124,"{0: 23, 1: 6, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",25,0,-191.35083620176832,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",25,0,-227.39433906432689,"{0: 11, 1: 4, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,0,-140.59173121694863,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",25,0,-98.30737039991521,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-137.15127670777989,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",20,10,-26.709263225282356,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",25,10,-26.199599559846476,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",25,0,-56.921569869208994,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",20,0,-114.13742142119689,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",35,0,-132.69243833275004,"{0: 21, 1: 3, 2: 9, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",20,0,-85.04119135884386,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",25,0,-85.42496311599722,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",20,0,-21.39002450655726,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",20,0,-36.99190540655486,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",20,0,-68.58358390406171,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,0,-84.25892449524531,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",25,0,-50.08585886343093,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,1,2.3632926140410104,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,0,-52.62437811869421,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-32.67790931137565,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-21.40766533163564,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",25,0,-23.89814518147949,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",25,0,-59.27428200919024,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
