trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-147.7016490708132,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-104.10905872547312,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-7.852699185491627,"{0: 30, 1: 1, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,4,-214.28715003295403,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-122.66031519631241,"{0: 9, 1: 3, 2: 4, 3: 4, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-107.80112876291327,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-68.21619056498274,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-29.82745445775174,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,3,-104.0128907515276,"{0: 7, 1: 1, 2: 7, 3: 2, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-141.83264459392515,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-100.8348710201692,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-106.3688385347461,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-128.13945192298561,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-111.79094500187885,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-237.26532744186352,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-83.84977317501861,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-45.75144969478855,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-79.05103092529032,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-161.5726291026033,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-51.40578368580272,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",35,0,-119.46742076241088,"{0: 22, 1: 3, 2: 9, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-221.63940954441438,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",20,0,-159.59511699644364,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-28.513273085738543,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-202.85057385772103,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-146.38803284324715,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,13,-7.7825703216515345,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-116.74374035125504,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-66.24191139704493,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-31.913155849056636,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
